X;Y;Z;idstation;nom;adresse1;adresse2;commune;numdansarr;nbbornette;stationbon;pole;ouverte;achevement;gid;code_insee
4.89349978098059;45.7419202027106;0;3090;Vinatier;95 bd Pinel;;Lyon 3 ème;90;17;Non;Hôpital;Non;;121;69383
4.8942587457506;45.7525429085337;0;3102;Dr Long / Aubépins;2, rue de la Caille;;Lyon 3 ème;102;16;Non;Maillage;Oui;;122;69383
4.82108664154825;45.7583623960293;0;5050;Théâtre Romain;6 ue de l'Antiquaille;;Lyon 5 ème;50;12;Oui;Théâtre antique, lycée;Oui;;123;69385
4.88482046365007;45.7512052508819;0;3079;Place Louise;4, Place Louise;;Lyon 3 ème;79;16;Non;Coeur de quartier, Parc Georges Bazin, maillage;Oui;;124;69383
4.86820654517699;45.7408472643868;0;8054;Martinière Monplaisir;3, Rue Antoine Lumière;;Lyon 8 ème;54;20;Non;Lycée technique;Oui;;125;69388
4.8706875747776;45.7458095692911;0;3008;Institut Lumière;Cours Albert Thomas;;Lyon 3 ème;8;18;Non;Métro, coeur quartier, institut Lumière, marché;Oui;;126;69383
4.8914894327086;45.7557668546375;0;10113;Gare de Villeurbanne;52, Rue du Poizat;;VILLEURBANNE;113;22;Non;Tramway, maillage;Oui;;127;69266
4.896957057546;45.7481832938432;0;3091;Hôpital Neurologique;59, Boulevard Pinel;;Lyon 3 ème;91;30;Non;Centre hospitalier, itinéraire cyclable;Oui;;128;69383
4.87010596914173;45.7435720690503;0;8053;Lumière/Trouilhet;6, Rue Antoine Lumière;;Lyon 8 ème;53;16;Non;Poste, commerces;Oui;;129;69388
4.86167388058994;45.7600550578148;0;3080;Part-Dieu / Villette;Rue de la Villette;;Lyon 3 ème;80;30;Non;Gare Part-Dieu;Oui;;130;69383
4.85048625739127;45.7615189274364;0;3083;Les Halles;183, Rue André Philip;;Lyon 3 ème;83;18;Non;Commerces, coeur de quartier;Oui;;131;69383
4.85873229454524;45.7601191127188;0;3002;Part-Dieu / Gare SNCF;Place Béraudier;;Lyon 3 ème;2;32;Non;Gare Part-Dieu, métro B, tram;Oui;;132;69383
4.83043945355408;45.7582620430002;0;2002;Bellecour / St Exupéry;Place Bellecour;côté rue Lintier;Lyon 2 ème;2;20;Non;métro A D, site, commerces;Oui;;133;69382
4.82713062819213;45.7240933491196;0;7020;Parc de Gerland;Allée Pierre de Coubertin;derrière le Palais des Sports Entrée du P;Lyon 7 ème;20;26;Non;Parc de Gerland, Palais des Sports;Oui;;134;69387
4.8194888520227;45.7722848585226;0;1023;Croix Rousse / Perfetti;Boulevard de la Croix Rousse;;Lyon 1 er;23;20;Oui;IUFM, gymnase Jean Genety;Oui;;135;69381
